;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S18;acuity_left;0.022399200353072444;0.030330105128843998;0.02133043259285464;0.025225266770515568;0.03189870362974079;0.05159615970924287;0.049896737005495136;0.055647463206278634;0.09134233076093655;0.20117956965898237;0.21196457931165333;0.2032773844383157
S19;acuity_left;0.01762141712993422;0.035830425843073326;0.023347165832895988;0.01913310627187301;0.03942846517084359;0.07872041476027222;0.053013106347714625;0.045921509504062465;0.1357215804166536;0.2056599492699268;0.17377910530737065;0.16829184843138906
S20;acuity_left;0.029687288436933055;0.03559927085232186;0.017185056705568122;0.01611531623362261;0.04984586903707279;0.07873410622070023;0.04277369205835762;0.05634261241725357;0.1283705278654736;0.19121838298468383;0.13549931604820792;0.21640946771360425
S22;acuity_left;0.03237744974594553;0.04828062758238533;0.018936833139968308;0.020721206465804113;0.04562615464190282;0.09513095101647048;0.050730094634531334;0.04631506951041666;0.11819347929739543;0.22977121135848358;0.1483896534257665;0.1385895635652558
S24;acuity_left;0.018670958935588514;0.03519951040737078;0.015565538250536647;0.014404737668553595;0.03730669335155988;0.07594222688623405;0.03767763149468516;0.0418601171112058;0.15648489641952545;0.2670379272227995;0.13268130063649494;0.16451216487840672
S25;acuity_left;0.007047537680766774;0.0093981046389393;0.007372019500134181;0.018158755621425892;0.019864799501768695;0.028138267803054774;0.026720603012187517;0.06810942860070647;0.11677929237560962;0.15665036897416013;0.13946395903232314;0.38993229498773785
S26;acuity_left;0.006450235332265953;0.025158359261329165;0.020408796940994296;0.016799666056266847;0.018595628100862193;0.06902453103064145;0.06641300349836662;0.04249033403972369;0.08932156586542993;0.25033035649028373;0.2516588380038523;0.1413824261033474
S27;acuity_left;0.0018006421683524998;0.008806527288429376;0.011993088124938399;0.0023649030630370845;0.005967902718316421;0.04927367450698774;0.07616622116229893;0.008782061838872514;0.034584219295203236;0.3243358716554154;0.4319061091674483;0.043420151710721236
S28;acuity_left;0.019816808454784913;0.030543584624771438;0.013046883784243854;0.012308189775804118;0.0381494448685181;0.07678400480218182;0.03834853101505507;0.0337561883457469;0.17115415530971892;0.28931009711243144;0.13864901994318507;0.13349346919967264
S29;acuity_left;0.011122545033666033;0.01926750761223367;0.013135732935875825;0.014906168041476984;0.041570192436087554;0.06263209038271458;0.04604113581037148;0.04696751282410669;0.20203075899281306;0.23148200305223093;0.14461796514784847;0.15966367050190813
S30;acuity_left;0.007504975134182203;0.011722929230679892;0.012055254585946609;0.019928549736957044;0.01840624372405361;0.049221019672763155;0.05011511067578129;0.07872217407682028;0.06481999344838775;0.16439688807395006;0.18300043555381348;0.33489471273956306
S31;acuity_left;0.009969930334735434;0.015110280206257865;0.011345923055608777;0.013819209093275478;0.03196225346802939;0.05887679273314086;0.03561643310882155;0.04192010688560179;0.20271528646723194;0.2796996398133742;0.1427268304048622;0.15283335058292347
S32;acuity_left;0.008770547866382079;0.014046061596263289;0.009620066692920166;0.018392142649237223;0.033112789569249214;0.044374741842957456;0.03977402121382805;0.05650561774151175;0.1503306140015874;0.2115824520387688;0.19857176596680134;0.2118107194231785
S33;acuity_left;0.008816935840485115;0.010301049157335207;0.007012886669546916;0.01809277693131562;0.035143470253627296;0.042319434555395406;0.029848741617206555;0.06699857830754756;0.1527153896754894;0.19104978991873242;0.14606247091604335;0.2700828981190117
S34;acuity_left;0.009070089138704104;0.012750955848603831;0.02465812470063937;0.007362024573784895;0.01881520436373123;0.03031095376785816;0.08940379394336201;0.025838490019287477;0.0851052464235228;0.12562564191269238;0.46633889430458264;0.10331345750724445
S36;acuity_left;0.008207323571004654;0.014612579666769866;0.009940579862247754;0.009869265002478912;0.03214835485543345;0.059942218166524834;0.05470056802356249;0.031683268275747335;0.14909186285791218;0.2678984823239368;0.2547656406539557;0.10558162680492676
S37;acuity_left;0.013292344037810202;0.02468592306971696;0.018129305910431485;0.015048572453201582;0.03849693843902243;0.06723024581758982;0.053463788177318027;0.047841559730895974;0.14025603064524325;0.1980199710353212;0.20315442938270972;0.17866486086623226
